propinsi,kemitraan,umur,gender,sumber_benih,kud,kelompok
SUMATERA UTARA,0,33,1,1,0,0
SUMATERA UTARA,0,32,1,1,0,1
SUMATERA UTARA,0,70,1,1,0,0
SUMATERA UTARA,0,43,1,1,0,0
SUMATERA UTARA,0,48,2,1,0,0
SUMATERA UTARA,0,45,1,1,0,0
SUMATERA UTARA,0,38,1,1,0,0
SUMATERA UTARA,0,58,2,1,0,0
SUMATERA UTARA,0,40,1,1,0,0
SUMATERA UTARA,0,37,1,1,0,0
SUMATERA UTARA,0,35,1,1,0,0
SUMATERA UTARA,0,62,1,1,0,0
SUMATERA UTARA,0,48,1,1,0,0
SUMATERA UTARA,0,33,1,1,0,0
SUMATERA UTARA,0,48,1,1,0,0
SUMATERA UTARA,0,61,2,1,0,0
SUMATERA UTARA,0,36,1,1,0,0
SUMATERA UTARA,0,46,1,1,0,0
SUMATERA UTARA,0,55,1,1,0,0
SUMATERA UTARA,0,43,1,1,0,0
SUMATERA UTARA,0,45,1,1,0,0
SUMATERA UTARA,0,48,1,1,0,0
SUMATERA UTARA,0,65,2,1,0,0
SUMATERA UTARA,0,43,1,1,0,0
SUMATERA UTARA,0,45,1,1,0,0
SUMATERA UTARA,0,45,2,1,0,0
SUMATERA UTARA,0,46,1,1,0,0
SUMATERA UTARA,0,65,2,1,0,0
SUMATERA UTARA,0,61,1,1,0,0
SUMATERA UTARA,0,50,1,1,0,0
SUMATERA UTARA,0,64,1,1,0,0
SUMATERA UTARA,0,50,1,0,0,0
SUMATERA UTARA,0,47,1,1,0,0
SUMATERA UTARA,0,65,1,1,0,0
SUMATERA UTARA,0,61,2,1,0,0
SUMATERA UTARA,0,48,1,1,0,0
SUMATERA UTARA,0,66,1,1,0,0
SUMATERA UTARA,0,33,1,1,0,0
SUMATERA UTARA,0,86,1,1,0,0
SUMATERA UTARA,0,46,1,1,0,0
SUMATERA UTARA,0,42,1,1,0,0
SUMATERA UTARA,0,36,1,1,0,0
SUMATERA UTARA,0,44,1,1,0,0
SUMATERA UTARA,0,54,2,1,0,0
SUMATERA UTARA,0,46,1,1,0,0
SUMATERA UTARA,0,60,1,1,0,0
SUMATERA UTARA,0,86,1,1,0,0
SUMATERA UTARA,0,48,1,1,0,0
SUMATERA UTARA,0,41,2,1,0,0
SUMATERA UTARA,0,58,1,1,0,0
SUMATERA UTARA,0,55,1,1,0,0
SUMATERA UTARA,0,54,1,1,0,0
SUMATERA UTARA,0,49,2,1,0,0
SUMATERA UTARA,0,56,1,1,0,0
SUMATERA UTARA,0,54,2,1,0,0
SUMATERA UTARA,0,48,1,1,0,0
SUMATERA UTARA,0,57,1,1,0,0
SUMATERA UTARA,0,47,1,1,0,0
SUMATERA UTARA,0,35,1,1,0,0
SUMATERA UTARA,0,36,1,1,0,0
SUMATERA UTARA,0,79,1,1,0,0
SUMATERA UTARA,0,48,1,1,0,0
SUMATERA UTARA,0,52,1,0,0,0
SUMATERA UTARA,0,45,1,0,1,1
SUMATERA UTARA,0,46,1,0,0,0
SUMATERA UTARA,0,45,1,0,1,0
SUMATERA UTARA,0,48,1,0,0,0
SUMATERA UTARA,0,32,1,0,0,0
SUMATERA UTARA,0,64,1,0,0,0
SUMATERA UTARA,0,53,1,0,0,0
SUMATERA UTARA,0,62,1,0,0,0
SUMATERA UTARA,0,55,1,0,0,0
SUMATERA UTARA,0,50,2,0,0,0
SUMATERA UTARA,0,63,2,0,0,0
SUMATERA UTARA,0,42,1,0,1,0
SUMATERA UTARA,0,54,1,0,0,0
SUMATERA UTARA,0,51,1,0,0,0
SUMATERA UTARA,0,71,2,0,0,0
SUMATERA UTARA,0,55,1,0,0,0
SUMATERA UTARA,0,58,2,0,0,0
SUMATERA UTARA,0,50,2,0,0,0
SUMATERA UTARA,0,70,1,0,0,0
SUMATERA UTARA,0,38,2,0,0,0
SUMATERA UTARA,0,35,1,0,0,0
SUMATERA UTARA,0,52,1,0,0,0
SUMATERA UTARA,0,54,1,0,0,0
SUMATERA UTARA,0,48,1,0,1,0
SUMATERA UTARA,0,67,1,0,0,0
SUMATERA UTARA,0,46,1,0,0,0
SUMATERA UTARA,0,45,1,0,0,0
SUMATERA UTARA,0,45,1,0,0,0
SUMATERA UTARA,0,54,1,0,0,0
SUMATERA UTARA,0,51,1,0,0,0
SUMATERA UTARA,0,42,1,0,0,0
SUMATERA UTARA,0,45,1,0,0,0
SUMATERA UTARA,0,43,1,1,0,1
SUMATERA UTARA,0,53,1,1,0,1
SUMATERA UTARA,0,65,1,1,0,1
SUMATERA UTARA,0,41,1,1,0,1
SUMATERA UTARA,0,55,1,1,0,1
SUMATERA UTARA,0,45,1,1,0,1
SUMATERA UTARA,0,56,1,1,0,1
SUMATERA UTARA,0,58,1,1,0,1
SUMATERA UTARA,0,51,1,1,0,1
SUMATERA UTARA,0,72,2,1,0,0
SUMATERA UTARA,0,67,1,1,0,1
SUMATERA UTARA,0,39,1,1,0,1
SUMATERA UTARA,0,57,1,1,0,1
SUMATERA UTARA,0,71,2,1,0,0
SUMATERA UTARA,0,38,2,1,0,1
SUMATERA UTARA,0,30,1,1,0,1
SUMATERA UTARA,0,56,1,1,0,1
SUMATERA UTARA,0,56,1,1,0,1
SUMATERA UTARA,0,64,1,1,0,1
SUMATERA UTARA,0,72,1,1,0,1
SUMATERA UTARA,0,53,1,1,0,1
SUMATERA UTARA,0,40,1,1,0,1
SUMATERA UTARA,0,34,1,1,0,1
SUMATERA UTARA,0,38,1,1,0,1
SUMATERA UTARA,0,38,1,1,0,0
SUMATERA UTARA,0,72,1,1,0,0
SUMATERA UTARA,0,38,1,1,1,0
SUMATERA UTARA,0,52,1,1,0,0
SUMATERA UTARA,0,49,1,1,0,0
SUMATERA UTARA,0,39,1,1,0,0
SUMATERA UTARA,0,45,1,1,0,0
SUMATERA UTARA,0,37,1,1,0,0
SUMATERA UTARA,0,36,1,1,0,0
SUMATERA UTARA,0,30,1,1,0,0
SUMATERA UTARA,0,55,1,1,0,0
SUMATERA UTARA,0,54,1,1,0,0
SUMATERA UTARA,0,57,1,1,0,0
SUMATERA UTARA,0,53,1,1,0,0
SUMATERA UTARA,0,50,1,0,1,0
SUMATERA UTARA,0,55,1,1,0,0
SUMATERA UTARA,0,33,1,1,0,0
SUMATERA UTARA,0,60,2,1,0,0
SUMATERA UTARA,0,38,1,1,0,0
SUMATERA UTARA,0,60,1,1,0,0
SUMATERA UTARA,0,68,2,1,0,0
SUMATERA UTARA,0,58,1,1,0,1
SUMATERA UTARA,0,55,2,1,0,1
SUMATERA UTARA,0,55,1,1,0,1
SUMATERA UTARA,0,54,1,1,0,0
SUMATERA UTARA,0,59,1,1,0,0
SUMATERA UTARA,0,65,1,1,0,0
SUMATERA UTARA,0,72,2,1,0,0
SUMATERA UTARA,0,62,1,1,0,1
SUMATERA UTARA,0,52,1,1,0,0
SUMATERA UTARA,0,60,2,1,0,0
SUMATERA UTARA,0,55,1,1,0,0
SUMATERA UTARA,0,32,1,1,0,0
SUMATERA UTARA,0,65,2,0,0,0
SUMATERA UTARA,0,48,1,1,0,0
SUMATERA UTARA,0,48,1,1,0,0
SUMATERA UTARA,0,60,2,1,0,0
SUMATERA UTARA,0,46,1,1,0,1
SUMATERA UTARA,0,64,1,1,0,1
SUMATERA UTARA,0,70,1,0,0,0
SUMATERA UTARA,0,37,1,1,0,0
SUMATERA UTARA,0,45,2,0,0,0
SUMATERA UTARA,0,44,1,1,0,0
SUMATERA UTARA,0,43,1,0,0,0
SUMATERA UTARA,0,59,2,1,0,0
SUMATERA UTARA,0,54,1,1,0,0
SUMATERA UTARA,0,58,1,1,0,0
SUMATERA UTARA,0,52,1,1,0,0
SUMATERA UTARA,0,61,2,1,0,0
SUMATERA UTARA,0,35,2,1,0,0
SUMATERA UTARA,0,40,1,1,0,0
SUMATERA UTARA,0,43,1,1,0,0
SUMATERA UTARA,0,45,1,1,0,0
SUMATERA UTARA,0,42,1,1,0,0
SUMATERA UTARA,0,29,2,1,0,0
SUMATERA UTARA,0,34,2,1,1,0
SUMATERA UTARA,0,56,1,1,0,0
SUMATERA UTARA,0,49,1,1,0,0
SUMATERA UTARA,0,65,2,1,0,0
SUMATERA UTARA,0,48,1,1,0,0
SUMATERA UTARA,0,40,1,1,0,0
SUMATERA UTARA,0,39,1,1,0,0
SUMATERA UTARA,0,65,2,1,0,0
SUMATERA UTARA,0,62,2,1,0,0
SUMATERA UTARA,0,59,1,1,0,0
SUMATERA UTARA,0,65,2,1,0,1
SUMATERA UTARA,0,44,1,1,0,0
SUMATERA UTARA,0,76,2,1,0,0
SUMATERA UTARA,0,49,1,1,0,0
SUMATERA UTARA,0,59,1,1,0,0
SUMATERA UTARA,0,62,1,1,0,0
SUMATERA UTARA,0,47,1,1,0,0
SUMATERA UTARA,0,43,1,1,0,0
SUMATERA UTARA,0,55,1,1,0,0
SUMATERA UTARA,0,46,1,1,0,0
SUMATERA UTARA,0,40,2,1,0,0
SUMATERA UTARA,0,44,1,1,0,0
SUMATERA UTARA,0,56,1,1,0,0
SUMATERA UTARA,0,23,1,1,0,0
SUMATERA UTARA,0,30,2,1,0,0
SUMATERA UTARA,0,32,1,1,0,0
SUMATERA UTARA,0,32,1,1,0,0
SUMATERA UTARA,0,57,2,1,0,0
SUMATERA UTARA,0,32,2,1,0,0
SUMATERA UTARA,0,48,2,1,0,0
SUMATERA UTARA,0,42,2,1,0,0
SUMATERA UTARA,0,34,2,1,0,0
SUMATERA UTARA,0,54,2,1,0,0
SUMATERA BARAT,0,50,1,1,0,0
SUMATERA BARAT,0,38,1,1,0,0
SUMATERA BARAT,0,48,1,1,0,0
SUMATERA BARAT,1,33,1,1,0,0
SUMATERA BARAT,0,39,1,1,0,0
SUMATERA BARAT,0,51,1,1,0,0
SUMATERA BARAT,0,55,1,1,0,0
SUMATERA BARAT,0,49,1,1,0,0
SUMATERA BARAT,0,59,1,1,0,0
SUMATERA BARAT,0,30,1,1,0,0
SUMATERA BARAT,0,29,1,1,0,0
SUMATERA BARAT,0,55,1,1,0,0
SUMATERA BARAT,0,57,1,1,0,0
SUMATERA BARAT,0,50,1,1,0,0
SUMATERA BARAT,0,55,1,1,0,0
SUMATERA BARAT,0,38,1,1,0,0
SUMATERA BARAT,0,37,2,1,0,0
SUMATERA BARAT,0,32,1,1,0,0
SUMATERA BARAT,0,40,1,1,0,0
SUMATERA BARAT,0,38,1,1,0,0
SUMATERA BARAT,0,28,1,1,0,0
SUMATERA BARAT,0,47,1,1,0,0
SUMATERA BARAT,0,48,2,1,0,0
SUMATERA BARAT,0,50,1,0,0,0
SUMATERA BARAT,0,32,1,0,0,0
SUMATERA BARAT,0,50,1,1,0,0
SUMATERA BARAT,0,34,1,0,0,0
SUMATERA BARAT,0,60,1,0,0,0
SUMATERA BARAT,0,70,1,0,0,0
SUMATERA BARAT,0,55,1,0,0,0
SUMATERA BARAT,0,42,1,0,0,0
SUMATERA BARAT,0,39,1,0,0,0
SUMATERA BARAT,0,41,1,0,0,0
SUMATERA BARAT,0,45,1,0,0,0
SUMATERA BARAT,0,52,1,0,0,0
SUMATERA BARAT,0,60,1,0,0,0
SUMATERA BARAT,0,49,1,0,0,0
SUMATERA BARAT,0,47,1,0,0,0
SUMATERA BARAT,0,30,1,0,0,0
SUMATERA BARAT,0,38,1,0,0,0
SUMATERA BARAT,0,49,1,0,0,0
SUMATERA BARAT,0,45,1,0,0,0
SUMATERA BARAT,0,50,1,0,0,0
SUMATERA BARAT,0,55,2,0,0,0
SUMATERA BARAT,0,38,1,0,0,0
SUMATERA BARAT,0,40,1,0,0,0
SUMATERA BARAT,0,40,1,0,0,0
SUMATERA BARAT,0,30,1,1,0,0
SUMATERA BARAT,0,45,1,0,0,0
SUMATERA BARAT,0,36,1,0,0,0
SUMATERA BARAT,0,65,1,0,0,0
SUMATERA BARAT,1,44,1,0,0,0
SUMATERA BARAT,0,30,1,0,0,0
SUMATERA BARAT,0,21,1,1,0,0
SUMATERA BARAT,0,40,1,0,0,0
SUMATERA BARAT,0,42,1,0,0,0
SUMATERA BARAT,0,30,1,0,0,0
SUMATERA BARAT,0,40,2,0,0,0
SUMATERA BARAT,0,49,1,1,0,0
SUMATERA BARAT,0,45,1,1,0,0
